MSOA11CD,MSOA11NM,ZonePfSH,LAD,DELTA Macrozone,DELTA FMA+B?,Proportions MSOA/Zones
E02003529,Portsmouth 006,569,Portsmouth,2,F,5.28623E-07
E02003529,Portsmouth 006,567,Portsmouth,2,F,0.031826133
E02003529,Portsmouth 006,566,Portsmouth,2,F,0.160427487
E02003529,Portsmouth 006,565,Portsmouth,2,F,0.054757893
E02003529,Portsmouth 006,561,Portsmouth,2,F,0.240989762
E02003529,Portsmouth 006,552,Portsmouth,2,F,8.58407E-08
E02003530,Portsmouth 007,582,Portsmouth,2,F,0.370966489
E02003530,Portsmouth 007,581,Portsmouth,2,F,0.048871031
E02003530,Portsmouth 007,580,Portsmouth,2,F,4.54048E-07
E02003530,Portsmouth 007,578,Portsmouth,2,F,1.34229E-06
E02003530,Portsmouth 007,551,Portsmouth,2,F,0.045335747
E02003530,Portsmouth 007,550,Portsmouth,2,F,1.96774E-07
E02003530,Portsmouth 007,548,Portsmouth,2,F,3.02011E-07
E02003530,Portsmouth 007,541,Portsmouth,2,F,7.61696E-06
E02003530,Portsmouth 007,946,Portsmouth,2,F,0.014578031
E02003530,Portsmouth 007,944,Portsmouth,2,F,6.15803E-06
E02003530,Portsmouth 007,907,Portsmouth,2,F,1.07692E-05
E02003530,Portsmouth 007,586,Portsmouth,2,F,0.236250467
E02003530,Portsmouth 007,585,Portsmouth,2,F,1.64389E-05
E02003530,Portsmouth 007,584,Portsmouth,2,F,0.146228172
E02003530,Portsmouth 007,583,Portsmouth,2,F,0.137726785
E02003531,Portsmouth 008,582,Portsmouth,2,F,2.08617E-07
E02003531,Portsmouth 008,581,Portsmouth,2,F,0.158990697
E02003531,Portsmouth 008,580,Portsmouth,2,F,1.82454E-07
E02003531,Portsmouth 008,561,Portsmouth,2,F,1.22022E-07
E02003531,Portsmouth 008,560,Portsmouth,2,F,0.137486748
E02003531,Portsmouth 008,555,Portsmouth,2,F,0.042137158
E02003531,Portsmouth 008,554,Portsmouth,2,F,0.312865005
E02003531,Portsmouth 008,553,Portsmouth,2,F,0.176226124
E02003531,Portsmouth 008,552,Portsmouth,2,F,0.082254441
E02003531,Portsmouth 008,551,Portsmouth,2,F,0.03487409
E02003531,Portsmouth 008,550,Portsmouth,2,F,0.032930959
E02003531,Portsmouth 008,549,Portsmouth,2,F,0.022233575
E02003531,Portsmouth 008,547,Portsmouth,2,F,5.35243E-08
E02003531,Portsmouth 008,524,Portsmouth,2,F,3.46232E-09
E02003531,Portsmouth 008,584,Portsmouth,2,F,4.84677E-07
E02003531,Portsmouth 008,583,Portsmouth,2,F,1.4782E-07
E02003532,Portsmouth 009,548,Portsmouth,2,F,0.257517638
E02003532,Portsmouth 009,547,Portsmouth,2,F,0.088292916
E02003532,Portsmouth 009,545,Portsmouth,2,F,0.130364646
E02003532,Portsmouth 009,542,Portsmouth,2,F,0.040935382
E02003532,Portsmouth 009,541,Portsmouth,2,F,0.04640775
E02003532,Portsmouth 009,907,Portsmouth,2,F,9.60872E-06
E02003532,Portsmouth 009,586,Portsmouth,2,F,3.04312E-07
E02003532,Portsmouth 009,585,Portsmouth,2,F,0.342581065
E02003532,Portsmouth 009,584,Portsmouth,2,F,0.093890689
E02003533,Portsmouth 010,545,Portsmouth,2,F,0.027883364
E02003533,Portsmouth 010,543,Portsmouth,2,F,2.74803E-07
E02003533,Portsmouth 010,542,Portsmouth,2,F,0.159815777
E02003533,Portsmouth 010,541,Portsmouth,2,F,0.200892586
E02003533,Portsmouth 010,540,Portsmouth,2,F,0.346314411
E02003533,Portsmouth 010,946,Portsmouth,2,F,7.16737E-05
E02003533,Portsmouth 010,945,Portsmouth,2,F,0.059922953
E02003533,Portsmouth 010,944,Portsmouth,2,F,0.034063297
E02003533,Portsmouth 010,908,Portsmouth,2,F,0.128362276
E02003533,Portsmouth 010,907,Portsmouth,2,F,0.04267297
E02003533,Portsmouth 010,585,Portsmouth,2,F,4.17214E-07
E02003534,Portsmouth 011,551,Portsmouth,2,F,4.51316E-07
E02003534,Portsmouth 011,550,Portsmouth,2,F,0.122408118
E02003534,Portsmouth 011,549,Portsmouth,2,F,0.153818021
E02003534,Portsmouth 011,548,Portsmouth,2,F,0.095428319
E02003534,Portsmouth 011,547,Portsmouth,2,F,0.228050497
E02003534,Portsmouth 011,546,Portsmouth,2,F,0.126417362
E02003534,Portsmouth 011,545,Portsmouth,2,F,0.086034232
E02003534,Portsmouth 011,544,Portsmouth,2,F,0.149301638
E02003534,Portsmouth 011,543,Portsmouth,2,F,5.72014E-08
E02003534,Portsmouth 011,542,Portsmouth,2,F,0.038540723
E02003534,Portsmouth 011,526,Portsmouth,2,F,1.5365E-07
E02003534,Portsmouth 011,524,Portsmouth,2,F,1.08106E-07
