Zone,Area,Zone_type,LAD,ZonG,Core,D30_Districts ID
888,3,F,Eastleigh,-115,Core,2
889,2,F,Fareham,-110,Core,3
890,2,F,Fareham,-110,Core,3
891,2,F,Fareham,-110,Core,3
892,2,F,Fareham,-110,Core,3
893,2,F,Fareham,-110,Core,3
894,2,F,Fareham,-110,Core,3
895,2,F,Fareham,-110,Core,3
896,2,F,Fareham,-110,Core,3
897,2,F,Winchester,-114,Core,8
898,2,F,Winchester,-114,Core,8
899,2,F,Winchester,-114,Core,8
900,2,F,Havant,-116,Core,5
901,2,F,Winchester,-114,Core,8
902,2,F,Winchester,-114,Core,8
903,2,F,Winchester,-114,Core,8
904,2,F,Fareham,-110,Core,3
905,2,F,Gosport,-111,Core,4
906,2,F,Fareham,-110,Core,3
907,2,F,Portsmouth,-106,Core,9
908,2,F,Portsmouth,-106,Core,9
909,3,F,Test Valley,-113,Core,7
910,3,F,Test Valley,-113,Core,7
911,3,F,Eastleigh,-115,Core,2
912,3,F,New Forest,-112,Core,6
913,3,F,New Forest,-112,Core,6
914,3,F,New Forest,-112,Core,6
915,3,F,New Forest,-112,Core,6
916,3,F,New Forest,-112,Core,6
917,3,F,New Forest,-112,Core,6
918,2,F,Fareham,-110,Core,3
919,2,F,Fareham,-110,Core,3
920,3,F,Eastleigh,-115,Core,2
921,3,F,Eastleigh,-115,Core,2
922,3,F,Eastleigh,-115,Core,2
923,3,F,Eastleigh,-115,Core,2
924,3,F,Eastleigh,-115,Core,2
925,3,F,Eastleigh,-115,Core,2
926,3,F,Eastleigh,-115,Core,2
927,3,F,Eastleigh,-115,Core,2
928,3,F,Eastleigh,-115,Core,2
929,3,F,Eastleigh,-115,Core,2
930,2,F,Portsmouth,-106,Core,9
931,2,F,Portsmouth,-106,Core,9
932,2,F,Portsmouth,-106,Core,9
933,2,F,New Forest,-110,Core,6
934,2,F,New Forest,-110,Core,6
935,2,F,Eastleigh,-114,Core,2
936,2,F,Fareham,-110,Core,3
937,2,F,Fareham,-110,Core,3
938,2,F,Fareham,-110,Core,3
939,2,F,Fareham,-106,Core,3
940,2,F,Winchester,-106,Core,8
941,2,F,Winchester,-106,Core,8
942,2,F,Winchester,-106,Core,8
943,2,F,Winchester,-106,Core,8
944,2,F,Portsmouth,-106,Core,9
945,2,F,Portsmouth,-106,Core,9
946,2,F,Portsmouth,-106,Core,9
947,3,F,New Forest,-112,Core,6
948,3,F,New Forest,-112,Core,6
949,3,F,New Forest,-112,Core,6
950,3,F,New Forest,-112,Core,6
951,2,F,Gosport,-111,Core,4
952,3,F,Eastleigh,-115,Core,2
953,3,F,Eastleigh,-115,Core,2
954,3,F,Eastleigh,-115,Core,2
955,3,F,Eastleigh,-115,Core,2
956,2,F,Fareham,-110,Core,3
957,2,F,Fareham,-110,Core,3
958,2,F,Fareham,-110,Core,3
959,3,F,Test Valley,-113,Core,7
960,3,F,Test Valley,-113,Core,7
961,2,F,Winchester,-114,Core,8
962,2,F,Winchester,-114,Core,8
963,2,F,Winchester,-114,Core,8
964,2,F,Winchester,-114,Core,8
965,2,F,East Hampshire,-108,Core,1
966,40,X,New Forest,0,Core,6
967,40,X,Winchester,0,Core,8
968,40,X,Winchester,0,Core,8
969,3,F,Test Valley,-113,Core,7
970,3,F,Test Valley,-113,Core,7
971,3,F,Test Valley,-113,Core,7
972,3,F,Test Valley,-113,Core,7
973,3,F,Test Valley,-113,Core,7
974,3,F,Winchester,-114,Core,8
975,3,F,Winchester,-114,Core,8
976,2,F,Havant,-116,Core,5
977,3,F,Winchester,-114,Core,8
978,40,X,#N/A,0,External,30
979,40,X,#N/A,0,External,30
980,40,X,#N/A,0,External,30
981,40,X,#N/A,0,External,30
982,40,X,#N/A,0,External,30
983,40,X,#N/A,0,External,30
984,40,X,#N/A,0,External,30
985,40,X,#N/A,0,External,30
986,40,X,#N/A,0,External,30
987,40,X,#N/A,0,External,30
988,40,X,#N/A,0,External,30
989,40,X,#N/A,0,External,30
990,40,X,#N/A,0,External,30
991,40,X,#N/A,0,External,30
992,40,X,#N/A,0,External,30
993,40,X,#N/A,0,External,30
994,40,X,#N/A,0,External,30
995,40,X,#N/A,0,External,30
996,40,X,#N/A,0,External,30
997,40,X,#N/A,0,External,30
998,40,X,#N/A,0,External,30
999,40,X,#N/A,0,External,30
