District,Population,2019,2026,2031,2036,2046
20,under16,12420.543818418002,12174.81745983,11706.789413360002,11592.81392855,11965.216027719998
20,16-74,47237.05817601801,46912.44233388,47089.91041503,46697.44180036,45257.669418649995
20,75+,6377.595212261999,8349.22129166,9106.11784432,10060.93682028,12190.90216465
20,HHs,27633.068632106,28575.62532158,29293.716484400004,29964.028003040003,31204.495200439997
20,jobs,33556.22669265,34701.54280727,35239.180334920005,35543.09008280001,35686.246244070004
20,workers,33279.975922492,33835.805644299995,33833.92373772,33591.97479147,34607.67480459
27,under16,35601.991021782,34131.99125901,32061.991729309997,31344.991812649994,32078.991474020007
27,16-74,127304.16304807401,127931.96206557001,128587.96118751999,127151.96130752,122139.96269853001
27,75+,13296.993147780002,17068.991420119997,18297.99099087,20014.99020379,24152.988281269998
27,HHs,73874.37845924601,75831.97770689,77021.97729913,77981.9769841,79775.97642107
27,jobs,99763.199773902,103440.99990362,105044.99990513,105951.99991014,106378.99990822999
27,workers,93686.77494613799,96280.97360613999,96179.97318509,95226.97316581999,96660.97235509
22,under16,10181.789436816,10202.31291283,9858.87053629,9760.10635444,10106.22133111
22,16-74,36481.504850494,36638.7366268,37132.18811748,37199.566483120005,36607.838802469996
22,75+,4573.764548618001,5882.66857441,6325.4308349699995,6905.540431419998,8427.163596760001
22,HHs,21598.833754532003,22486.047661259996,23158.06565499,23785.315840599997,24943.9770998
22,jobs,29308.03761165,30243.021586169994,30712.840791469996,30979.65807829,31105.029241250002
22,workers,26309.989828826,27292.436250990006,27571.631679529997,27633.297007249996,28810.841167270002
29,under16,22729.390732731998,22376.99065749,21381.9910496,20984.991210289998,21549.990952850003
29,16-74,88098.764104152,90264.96304383,91929.96209300999,91957.96189846,89285.96309947001
29,75+,13506.794875852,17136.993679209998,18755.99308331,20770.99227878,25507.99043143
29,HHs,53103.180516004,55858.97947665,57518.97889355,58917.978385580005,61247.97756679
29,jobs,72284.57174559,75812.97049053,76976.97007104,77638.96984199999,77941.96976832
29,workers,61630.7746238,64981.9730274,65969.97242992,66211.97220338,67253.97176420002
21,under16,5635.594181388,5332.80531318,5044.8157715,4949.819234059999,5024.816464919999
21,16-74,23237.148444122002,22742.16742514,22516.17630896,22100.191658379998,20969.233729789998
21,75+,4168.23950489,5162.801095090001,5540.7864630700005,5969.76998539,7076.7276354
21,HHs,14264.878410714002,14497.470339259999,14691.4634668,14872.45708783,15236.444117229998
21,jobs,17921.05206932,18523.43376278,18809.425056170003,18971.42012121,19046.417885540002
21,workers,15078.043682783999,15353.43420133,15253.43820901,14987.448968249999,15013.448454630001
26,under16,13935.070847458002,13833.257289439998,13131.242821989998,12797.237850829999,12945.242234549998
26,16-74,61359.32177811799,61172.11419008001,62048.11477687,61752.102108739986,59088.04472773
26,75+,13562.791716302001,16302.23668563,17059.255623949994,18194.27642772,21547.329530380004
26,HHs,39187.84994280199,40601.66329561,41547.67326181001,42321.68157832998,43589.696697600004
26,jobs,38780.823373695996,40509.64337105999,41139.65327724001,41494.65881049998,41661.66130225999
26,workers,38931.509727003984,40423.730768180016,40797.73050945001,40766.72307157,41240.72562311
24,under16,26980.561809866005,26324.96494325,24825.96600993,24147.966188380004,24523.964795980006
24,16-74,107863.05611572004,109478.85043118997,110988.84604929999,110531.84397680001,105984.8550553
24,75+,16174.184640444002,19636.98007763,21112.97682561,22817.975018069996,27490.96964496
24,HHs,66641.76238204598,69212.96051290003,70835.95923143,72063.95834788002,73878.95708532
24,jobs,89319.56247456599,93413.9623388,94861.9617272,95680.96149430999,96067.96139712
24,workers,72003.723359286,75307.91709939,76498.91774809001,76850.9173107,77154.91641536998
23,under16,32186.758423984,32375.957216709994,29864.961151049996,28718.96297271,29057.962620349997
23,16-74,140453.22884957396,142987.82292151998,146014.81763823997,145562.81741179997,139929.8232238
23,75+,16358.181180122003,19182.97896849,20331.97790987,22236.97531292,27024.96938564
23,HHs,86906.68340465601,90088.87931212,91937.87713498001,93200.87585955998,94768.87476216002
23,jobs,93440.148662596,98290.94627839999,99812.94546563999,100676.94498514001,101083.94476335
23,workers,91160.89095389801,95603.88449697998,98162.87978024,99211.87665829,99794.87556013
25,under16,7861.6057754879985,7368.0061507499995,6824.00567101,6596.00543881,6620.005552189999
25,16-74,34228.41240103,34907.012604519994,35708.01252002,35633.01237826,34176.01212739
25,75+,7805.399016105999,9297.99879156,9766.99879191,10503.99878336,12597.99859064
25,HHs,22982.405918562003,23945.005971900002,24588.005946669997,25105.00587848,25935.00567374
25,jobs,23377.401150828,24393.00160547,24769.00163367,24985.00164544,25085.001655059998
