District,Population,2019,2026,2031,2036,2041
27,75+,13272.993155483999,16926.9914699,18012.99106803,19462.99036868,21322.98943508
27,HHs,73816.178483072,75230.97791889,75616.97778546,75664.97775779,75390.97784833999
27,jobs,97960.19977466999,102463.99990601999,103553.99991112,103827.99990498,102959.99990732003
27,workers,92132.775361416,95100.97397808002,95048.97355512,93519.9737569,93422.97364709999
22,under16,10159.098040428,9924.941892919998,9214.20716272,8733.949512270001,8704.97692265
22,16-74,36456.07560899799,36485.94876974,36812.15171739001,36714.84462135,36005.629001149995
22,75+,4564.1502881119995,5829.7746208399985,6220.25719819,6703.14196078,7371.547738439999
22,HHs,21579.44949018799,22306.799112149994,22740.1627201,23088.939524729998,23327.97961891
22,jobs,28780.235926674002,29958.668634129997,30278.96675304,30357.983238660003,30105.012379429998
22,workers,25867.795518961997,26974.72907991,27236.9736793,27182.068866700003,27518.3063385
29,under16,22681.390751218,21769.99089693,19982.991602539998,18769.99208633,18607.992125650002
29,16-74,88057.36411690201,89953.96306873,91226.96212123998,90820.96194583,88497.9627802
29,75+,13485.794880856,17017.99370358,18516.99312164,20277.99237597,22498.991452889997
29,HHs,53063.580529222,55403.97960225,56442.97918832001,57129.97887523999,57506.9786552
29,jobs,70971.17225833201,75097.9707591,75892.97046906999,76089.97040974,75452.97065969
29,workers,60517.17502359199,64340.97317455001,65264.972572180006,64921.97241508,65089.972109430004
21,under16,5626.594527125999,5201.81009834,4741.82684009,4468.83678691,4431.83809014
21,16-74,23235.348513943998,22704.168750409997,22423.17951904,21951.19687246,21166.225820710002
21,75+,4161.03977501,5122.802533439999,5459.78947233,5808.77591882,6280.757705599999
21,HHs,14260.078605702001,14421.473032949998,14505.47008249,14551.46849494,14544.46877693
21,jobs,17597.661972116,18348.43915223,18544.43318295,18592.431687710003,18435.436499620002
21,workers,14867.451492707998,15260.43772998,15097.443984860001,14797.45558758,14678.460254459998
26,under16,13911.670391284002,13473.250686189998,12299.227586840001,11489.213816150002,11314.211958390002
26,16-74,61346.12169138201,61011.1117608,61642.10883787001,61075.092385319986,59134.052223429986
26,75+,13541.791391479996,16179.235114049998,16809.252411820005,17712.269812870003,19114.293722439998
26,HHs,39167.44970366599,40312.65930322999,40857.66344505,41153.66505796,41222.66384191
