District,Population,2019,2026,2031,2036,2046
19,jobs,-174.5752130819983,-94.2505109699996,-143.77218630000243,-206.53680735999842,-506.32412652999847
19,workers,-162.88366607399803,-107.28630321999844,-158.62900191000153,-209.11487390000184,-521.5876111100006
20,under16,-26.26758792000146,-330.45522088000143,-765.2612173200014,-1217.8593588500025,-1449.742955239999
20,16-74,-30.825942498006043,-178.5196622799922,-371.4291862999962,-563.5335149199964,-1558.0941430500025
20,75+,-13.075362401998973,-75.16900519000046,-152.9353538000014,-298.67585701999997,-896.8329526699999
20,HHs,-24.35067589800019,-219.5069375799976,-507.1828461400037,-846.6380633599983,-1702.470809909999
20,jobs,-605.6973760260007,-328.299441220006,-500.2478324800104,-713.5859605700025,-1755.471362010001
20,workers,-550.808834135998,-426.6372315999979,-348.26097665999987,-500.3903140399998,-1384.8082444700049
27,under16,-71.99998081200465,-911.9997434600009,-2061.9994148299993,-3239.9990790799966,-3933.9988050800057
27,16-74,-76.79996842799301,-532.9997834899841,-1156.9995359999884,-1791.999248370019,-4714.998299650018
27,75+,-23.999992296003256,-141.99995021999712,-284.99992283999745,-551.9998351100003,-1670.9994019200021
27,HHs,-58.19997617401532,-600.999788000001,-1404.9995136700018,-2316.9992263099994,-4545.998502550006
27,jobs,-1802.9999992320081,-976.9999976000108,-1490.9999940099951,-2124.0000051600073,-5234.000001879991
27,workers,-1553.999584721998,-1179.999628059988,-1130.9996299699997,-1706.9994089200045,-4421.998546959992
22,under16,-22.691396387999703,-277.37101991000236,-644.6633735699997,-1026.1568421699994,-1227.6613086200032
22,16-74,-25.429241496007307,-152.78785705999326,-320.03640008999355,-484.7218617700055,-1331.4528121200128
22,75+,-9.614260506001301,-52.89395357000103,-105.17363678000038,-202.39847063999787,-621.6250639100008
22,HHs,-19.38426434401117,-179.24854911000511,-417.9029348900003,-696.3763158700021,-1388.8038171999979
22,jobs,-527.8016849759988,-284.35295203999704,-433.8740384299999,-621.6748396299954,-1531.8287793200034
22,workers,-442.194309864004,-317.70717108000827,-334.65800022999974,-451.22814054999617,-1252.7579450200064
29,under16,-47.999981513999955,-606.9997605600001,-1398.9994470600031,-2214.999123960002,-2680.998982830002
29,16-74,-41.399987249984406,-310.9999750999996,-702.9999717700266,-1136.9999526299944,-3241.999310130006
29,75+,-20.99999499600017,-118.99997562999852,-238.99996167000063,-492.9999028099992,-1619.9995603999996
29,HHs,-39.59998678199918,-454.99987439999677,-1075.9997052299877,-1787.9995103400142,-3501.99906319
29,jobs,-1313.3994872579933,-714.9997314299981,-1083.9996019700193,-1548.999432259996,-3820.998585540001
29,workers,-1113.5996002080137,-640.9998528499927,-704.9998577399965,-1289.9997883000033,-3112.999156450016
21,under16,-8.999654262001059,-130.9952148399998,-302.9889314100001,-480.98244714999873,-546.9800391699991
21,16-74,-1.7999301780000678,-37.998674730002676,-92.99678991999826,-148.99478592000014,-481.9830126599991
21,75+,-7.1997298799997225,-39.99856165000165,-80.99699074000091,-160.99406657000054,-485.9818728499995
21,HHs,-4.799805012000434,-75.99730631000239,-185.9933843100007,-320.9885928900003,-678.9757897999971
21,jobs,-323.3900972040028,-174.9946105500021,-264.99187322000216,-378.9884334999988,-934.9715166599963
21,workers,-210.59219007600223,-92.99647134999941,-155.99422414999935,-189.993380670001,-576.9793594799994
26,under16,-23.400456174000283,-360.0066032499999,-832.0152351499964,-1308.0240346799983,-1537.0281504700015
26,16-74,-13.20008673598204,-161.00242928000807,-406.0059389999951,-677.0097234200075,-1893.0292670100025
26,75+,-21.000324822003677,-123.00157158000184,-250.00321212998824,-482.0066148499973,-1455.0205911900084
26,HHs,-20.40023913600453,-289.0039923800068,-690.0098167600081,-1168.0165203699798,-2352.033732729993
26,jobs,-700.2112735440169,-381.0061257699781,-583.0092810500137,-832.013132939981,-2049.0322730799962
26,workers,-678.0105346079872,-301.0053621700208,-221.00809356001992,-520.0145319599906,-1567.0338533199974
24,under16,-51.59995279800205,-715.9989446699983,-1632.9975257600017,-2556.9960785700023,-3091.9947636200086
24,16-74,-32.40006039009313,-473.99946432995785,-1117.998627339999,-1805.997779909987,-4516.993482200007
24,75+,-26.399963910003862,-156.99992398999893,-323.9998905200009,-640.9995951100027,-1906.998615649998
24,HHs,-37.80000996599847,-587.9993067300093,-1400.9982204100088,-2317.997178189995,-4503.995120100008
24,jobs,-1616.999316419984,-883.9996443800046,-1344.9993926799943,-1918.9992434000014,-4729.998189300037
24,workers,-1303.7987933819677,-755.9990224400099,-1205.0005370400177,-1870.9953247000085,-4175.992516489976
23,under16,-62.9999120099892,-869.9988684300006,-1949.997466619996,-3012.9961282500044,-3516.9955966900015
23,16-74,-47.99991008397774,-484.9993073499645,-1139.998334109987,-1892.9971657599672,-5445.992809919961
