District,CarOwnership,2019,2026,2031,2036,2046
13,1_car,24.22906620000049,-14.67726760999949,-44.689998759999526,-75.6430800700009,-173.19542384000033
13,2_cars,-14.215807830000813,-49.70074777000082,-112.60850260000007,-182.2114070100015,-319.11600137000096
13,3+_cars,-33.41099698200014,-37.18870651000043,-66.56914849999976,-108.9244358800006,-232.18929817000026
12,no_car,84.85578731399892,53.00002334999772,65.00002777000009,82.28690910999921,67.4344100999997
12,1_car,51.42302670600293,-32.000002000004315,-109.85253747000206,-209.99194662000082,-496.115153550003
12,2_cars,-71.65579211999466,-135.99194388999786,-273.1232558799984,-436.9677092200018,-788.3697478099984
12,3+_cars,-76.45090282199999,-75.27877353999884,-137.5575365800005,-217.5494259599982,-435.0988701799997
28,no_car,271.799774592002,195.99983533999875,266.99977539000065,366.9996998999977,458.99960543999987
28,1_car,-3.000003275999916,-85.99995203000435,-237.99985282999842,-424.9997308999991,-837.9994780999987
28,2_cars,-193.19983591800337,-254.99979104000158,-468.99962648999826,-750.9994013800006,-1370.998905139999
28,3+_cars,-99.59991701400031,-87.99992436999946,-130.99989852999988,-193.99985239999933,-420.9996649200002
18,no_car,138.43211060400063,73.57340268999906,85.57340853000005,112.8601119899995,116.57341322999946
18,1_car,34.032140945999345,-98.57336962999943,-255.00684822999938,-425.44032465000055,-818.8806801499995
18,2_cars,-121.41813580800044,-199.65025938000144,-396.94386704000135,-635.8808222099997,-1160.9714993700018
18,3+_cars,-70.41813877199957,-65.14680620000036,-123.29360103999898,-193.0837490300005,-401.8108579300001
19,no_car,12.934493058000044,6.071585629999845,1.864433089999693,0.4859095599998682,-15.306916740000133
19,1_car,16.697176607999154,-13.071576720000849,-41.35030713000015,-72.45766648000063,-154.32964820000007
19,2_cars,-10.388728631999584,-38.72884092999993,-86.45767466999996,-137.80798463999872,-256.9229008300008
19,3+_cars,-26.940117894000196,-30.86440883000023,-60.107340220000424,-94.97174520000044,-196.35780129999966
20,no_car,61.316958947999865,38.00004373999991,28.207811459999903,30.415581010000096,6.233656610000253
20,1_car,38.25978813599977,-52.98723515999882,-131.15620860999843,-226.727909180001,-492.832310419999
20,2_cars,-53.64159713399931,-125.96124550999957,-274.909564030002,-447.65015368999957,-789.1312150199992
20,3+_cars,-69.44421071400029,-75.55854250000084,-125.32489064000038,-202.07819800999914,-430.3383215899994
27,no_car,260.3999963699971,161.0000010700005,153.00001928999882,190.0000372300001,167.00006911000128
27,1_car,80.3999625960023,-155.9999537399999,-396.99991001001035,-669.9998413700087,-1375.9996567599992
27,2_cars,-221.39999743800217,-423.99991421000595,-859.9997900600029,-1366.99967139,-2370.999427099996
27,3+_cars,-178.7999401500001,-186.99990894000075,-301.9998462700005,-467.99973755999963,-969.9994947900013
22,no_car,100.53126373799932,62.37844170000062,70.42963226000029,89.78431791999901,96.55216077999921
22,1_car,8.69066703000135,-52.53201248000005,-136.93784308999602,-227.06032598000093,-453.86831595999865
22,2_cars,-77.91555576600058,-136.37474803000077,-264.64712060999864,-425.32897583999875,-749.098579139999
22,3+_cars,-50.42848900800027,-53.3344986900006,-83.9249582600005,-133.64517302000058,-284.0545398500003
29,no_car,191.99997130799966,103.99998525999945,111.9999789700014,143.9999735800011,106.9999826100011
29,1_car,101.39990950199717,-91.0000319100036,-320.00001962999886,-549.9999998500025,-1091.9999630599996
29,2_cars,-182.99993375400118,-315.9998962099962,-610.9997966299961,-974.9996836099963,-1701.999474010001
29,3+_cars,-151.79992790400047,-152.99992745999953,-249.9998732999993,-407.9997952300009,-809.9996136099999
21,no_car,32.398941965999484,20.999321150000014,23.99927185999968,29.999133109999775,26.999366369999734
21,1_car,28.198823993999213,-3.000049570000556,-30.999239349999698,-66.99809105000077,-168.9947219100004
21,2_cars,-26.999134278000383,-51.9981978600008,-110.99614500999905,-179.99372681000023,-319.98902006000026
21,3+_cars,-38.39848786799939,-37.998469770001066,-69.99718453999958,-105.99583108000024,-218.99141075999978
26,no_car,64.20118310399903,26.000639559999854,19.000761140000122,16.000690389998454,-40.99983922000138
