District,Population,2019,2026,2031,2036,2046
8,under16,20363.86246363199,20745.084754130014,20470.96462706,20855.662162170003,22440.125560979995
8,16-74,76731.633124598,79001.25439303,81418.07453980998,82509.32886614001,83502.36709853997
8,75+,10806.168777132001,13597.42841796,14898.153360799994,16634.883156479995,20918.242752169994
8,HHs,44096.402597572,46817.48204446998,49115.63960941999,51298.17759182002,55632.83724220999
8,jobs,80930.29862809797,83997.40634711998,86713.76656836997,89077.53156900001,93571.08930277998
8,workers,50936.359945637996,53954.268264729995,55954.05059690001,57233.4980153,60956.54562707001
5,under16,22507.794524813995,22635.787314619996,22661.77519735001,23287.707128949995,25385.488523159995
5,16-74,89929.64097547,91985.64041338002,94264.41322874,95395.30247890999,96970.13724628002
5,75+,13914.300201497996,16372.26213271,17590.14353916,19765.91357612,24998.36362608
5,HHs,54591.067569356,57081.22995346004,59515.98813791,62084.727094360016,67499.16952268
5,jobs,55522.857930565995,57351.247995440004,59207.06209166,60819.90002388999,63881.59202687001
5,workers,57417.19500280601,61264.805981639984,63572.58424013,65033.43711399998,70192.88763075999
3,under16,19689.02591588,20195.190471079997,20145.91471618001,20617.227105439993,22240.335092450012
3,16-74,82507.04916286998,83031.68966732005,84558.52641914999,85093.80559935005,85394.46660829996
3,75+,12767.992119550005,15902.530310590011,17051.8653666,18765.621429360002,23150.379812339994
3,HHs,49050.23404412597,51318.30553278002,53326.19340536,55323.12872186998,59508.11867075997
3,jobs,60899.73455760201,62678.97837462998,64706.880383709984,66469.54052342002,69817.68508820998
3,workers,55855.86421012597,58065.212507940014,59624.99866309,60577.65012315002,64201.07840577002
6,under16,12971.93324413,12609.002545569998,12316.84709255,12457.863301,13183.78864571
6,16-74,51129.88389927199,50501.1554979,50476.43442565,50113.40225550999,49351.87089688
6,75+,6883.925484806,8675.75520913,9455.999853260002,10374.121333419998,12806.732163749999
6,HHs,31169.979071883998,32062.943583160006,32929.87696765,33835.670955379996,35876.42255419
6,jobs,33502.87752457401,34475.86716584,35589.17673152,36562.035726250004,38404.31125704
6,workers,34367.714795608,34976.68471916999,35239.85663635,35309.15986834,36711.57625929
4,under16,15840.401275609996,14779.035334690001,14329.045438800002,14465.053293909998,15330.069205990003
4,16-74,60928.39929927199,61114.6113466,61118.65484789,60377.68669128001,59076.709409699986
4,75+,7632.8036564099975,9621.239183610001,10468.24649826,11717.26375717,14485.31915856
4,HHs,36880.961672696,37612.39542348999,38330.425018609996,39101.45395264,40967.50843164
4,jobs,31619.333513854,32665.79156436001,33722.849554689994,34641.900024480005,36386.99566342999
4,workers,40397.51342035801,41707.344546580025,41916.378045119985,41801.407723890006,43301.462486389995
1,under16,3497.902055184,3569.2353119800005,3581.2362973600007,3691.1067675399995,4032.4480427599997
1,16-74,15597.000564174,15682.81766501,15954.458907110002,16062.59386275,16129.88587696
1,75+,2471.509132308,3242.2688996799993,3553.3409017199997,3956.60760968,4911.738596300001
1,HHs,8899.827335652,9351.6117288,9739.50788438,10136.268949659998,10967.45245624
1,jobs,6357.948876598001,6591.17513144,6804.03878273,6990.14317749,7342.5587868699995
1,workers,10292.226131491998,10653.527060220002,10957.469875660001,11151.876668079998,11836.012885999997
17,under16,23134.00013287,21946.00012568001,20846.000119000004,20686.000117680003,21728.000122630005
17,16-74,104956.60052825602,103900.00051830999,104957.00051909998,105083.00051678,103545.00051178005
17,75+,18053.000058820002,23070.00007597,25531.000084999996,28546.000096050007,36471.00012495998
17,HHs,65321.40031225201,67079.00032102999,69175.00033153001,71426.00034278004,76364.00036756002
17,jobs,67555.200401662,70024.00041669997,72286.00043021,74255.00044198002,77995.00046433997
17,workers,61596.00032822399,63381.00033653996,64494.00034078999,64998.00034105999,68556.00035638001
15,under16,14056.252889915999,14444.92704576,14286.93394807,14519.57033323,15835.241914530001
15,16-74,61572.85880707399,63769.82701106,66538.74345785001,68377.97441242999,70017.06557012
15,75+,11504.361469175998,14085.78575442,15242.31747579,16951.75839111,21812.018096339998
15,HHs,39032.630954008,41741.01058709,44136.143994490005,46525.92075463,51302.11763372
15,jobs,32576.320428842002,33689.19230902,34779.71035241,35726.87867054,37525.362115469994
15,workers,37635.439724514,39849.052668460004,41730.346723149996,43130.94831733999,46297.48731482
16,under16,15774.447155766,15994.02994642,15806.551633930003,16127.994308289997,17438.107714799997
16,16-74,68118.735411958,69483.15025867999,71473.07753222999,72354.82002715999,72736.50604034
16,75+,13122.365683252003,16189.885890569998,17649.02745181,19763.56844485,25190.935123859996
16,HHs,43751.875003846,46176.4873114,48324.06415602,50475.64101441,54883.34466467
16,jobs,64651.51944641801,66898.76936895,69062.1179235,70941.78095890001,74515.17857911
16,workers,42573.701596556,43925.88234284,45177.553318829996,46079.05278612,48930.528397229995
11,under16,6330.183227902,6392.64626956,6358.65935423,6501.024089630001,6995.7287473199995
11,16-74,23550.577545838,23671.674640570003,24074.2616642,24226.223817129998,24339.75722304
11,75+,4313.45208059,5627.67032913,6144.21804253,6819.065101469999,8433.11084966
11,HHs,14167.776142854,14874.938584709998,15486.05892275,16110.192329029998,17412.706202359997
11,jobs,17395.975575080003,18008.26606078,18591.411223619998,19096.711934609997,20059.481976889998
11,workers,16069.551097594,16370.07254147,16658.02298188,16928.32370653,18151.73432459
14,under16,3073.410201932,3139.7208028699997,3105.9330986000004,3171.2850583299996,3425.1174661200002
14,16-74,11475.779458753997,11825.50334248,12194.475325250001,12392.74341405,12546.0171065
14,75+,1709.2447016060003,2149.5419525800003,2352.41905647,2624.0559362400004,3293.65370932
14,HHs,6731.717629585999,7137.94442737,7481.329888679999,7807.525416050001,8452.72095508
14,jobs,9459.544907443998,9773.59069972,10087.853221610001,10360.534745520003,10878.707852080002
14,workers,7584.321409878001,8076.2296352799995,8411.006097469999,8658.84402196,9239.871963369998
13,under16,5259.653925508001,5462.953550600001,5488.805401310001,5635.07131117,6135.61116743
13,16-74,20086.502613032,20378.15374381,20962.666411420003,21358.79555158,21784.667484420002
13,75+,2782.7373391520005,3596.99275372,3889.68661575,4285.12910765,5366.845891739999
13,HHs,11483.118090744,12154.62488295,12729.199767309998,13312.970918939998,14525.06384834
13,jobs,16123.46224378,16572.26799354,17110.00352352,17577.688744810002,18464.63724051
13,workers,13908.331937523999,14476.278404189998,14962.48590996,15382.693894369999,16670.18694132
12,under16,10259.665655378,10016.996511500001,9820.152002740002,9970.13579894,10661.21044474
12,16-74,50621.510073977995,50012.838943259994,50355.56034095,50192.59281318,49004.12460242001
12,75+,13816.473597086002,17109.24352964,18395.998718450006,19925.877105419997,24051.265963080004
12,HHs,33915.81754833,34884.05310518,35821.11973703,36803.32574364,39013.57405527
12,jobs,38791.515882496,40270.126091699996,41570.81630765,42705.95712163,44857.681229320006
12,workers,30299.080855583998,31130.31117432,31600.139468229994,31940.83641537,33593.42009066
28,under16,19405.781148238,19065.98161943,18539.98220277,18740.982093659997,20140.98094908
28,16-74,77313.73553215401,78635.93453925,80394.93346794,81371.93294944,82117.93244218001
28,75+,11755.193033436,13842.99175061,14773.9911307,16284.990133880001,20816.98719856
28,HHs,49585.761988795995,51276.96080635,52926.959633440005,54770.958291350005,58914.95522197
28,jobs,59959.75294963599,62152.95198477,64162.95043163,65912.94907976,69234.94651391
28,workers,50507.156316782,52136.955083880006,53578.95396926,54604.95327965,57054.951526159995
18,under16,11779.946082012,12098.0716722,11959.06472553,12146.42830385,13232.75650655
18,16-74,49177.133466928,51108.164520310005,53469.247205010004,55075.01560156,56589.92381592001
18,75+,10193.836072009999,12440.211153659999,13433.67916364,14912.237867619999,19131.9770686
18,HHs,32719.763372103997,34999.98292524,37018.84883134,39033.07143491,43055.87340522
18,jobs,27140.080357392,28048.808493610002,28955.290480289998,29745.122188909998,31244.638797080006
18,workers,29338.95620259,31209.94259588,32791.648065429996,33991.046126760004,36713.50626707
19,under16,4389.956843096001,4440.97414943,4383.45248975,4465.0099109,4807.89693013
19,16-74,16241.283422463997,16596.86912535,17007.942633900002,17206.200666179997,17392.51508513
19,75+,2579.039287906,3214.12013491,3529.9789527000003,3978.43854512,5120.07346383
19,HHs,9943.737747873998,10509.52615098,11009.949937009998,11512.3737158,12543.67137294
19,jobs,9714.889165898,10028.23964129,10352.891378150001,10636.22859369,11174.83145103
19,workers,10563.110427364001,10893.130480659998,11216.460055439999,11477.960997810002,12241.48662599
